seed,x,digits,carry_bin,lsd_position,correct,n_terms,raw_coeff,carry_in,carry_out,total_pre_mod,edge_distance,target_digit
0,156,3,high,5,1,0,0,0,0,0,0,0
0,156,3,high,4,1,1,1,1,0,2,1,2
0,156,3,high,3,0,2,10,4,1,14,2,4
0,156,3,high,2,1,3,37,6,4,43,2,3
0,156,3,high,1,0,2,60,3,6,63,1,3
0,156,3,high,0,1,1,36,0,3,36,0,6
0,316,3,high,5,1,0,0,0,0,0,0,0
0,316,3,high,4,1,1,9,0,0,9,1,9
0,316,3,high,3,0,2,6,3,0,9,2,9
0,316,3,high,2,0,3,37,1,3,38,2,8
0,316,3,high,1,1,2,12,3,1,15,1,5
0,316,3,high,0,1,1,36,0,3,36,0,6
0,293,3,high,5,1,0,0,0,0,0,0,0
0,293,3,high,4,1,1,4,4,0,8,1,8
0,293,3,high,3,0,2,36,9,4,45,2,5
0,293,3,high,2,0,3,93,5,9,98,2,8
0,293,3,high,1,1,2,54,0,5,54,1,4
0,293,3,high,0,1,1,9,0,0,9,0,9
0,286,3,high,5,1,0,0,0,0,0,0,0
0,286,3,high,4,1,1,4,4,0,8,1,8
0,286,3,high,3,0,2,32,9,4,41,2,1
0,286,3,high,2,0,3,88,9,9,97,2,7
0,286,3,high,1,0,2,96,3,9,99,1,9
0,286,3,high,0,1,1,36,0,3,36,0,6
0,184,3,high,5,1,0,0,0,0,0,0,0
0,184,3,high,4,1,1,1,2,0,3,1,3
0,184,3,high,3,1,2,16,7,2,23,2,3
0,184,3,high,2,0,3,72,6,7,78,2,8
0,184,3,high,1,0,2,64,1,6,65,1,5
0,184,3,high,0,1,1,16,0,1,16,0,6
0,124,3,high,5,1,0,0,0,0,0,0,0
0,124,3,high,4,0,1,1,0,0,1,1,1
0,124,3,high,3,0,2,4,1,0,5,2,5
0,124,3,high,2,0,3,12,1,1,13,2,3
0,124,3,high,1,1,2,16,1,1,17,1,7
0,124,3,high,0,1,1,16,0,1,16,0,6
0,173,3,high,5,1,0,0,0,0,0,0,0
0,173,3,high,4,1,1,1,1,0,2,1,2
0,173,3,high,3,1,2,14,5,1,19,2,9
0,173,3,high,2,1,3,55,4,5,59,2,9
0,173,3,high,1,0,2,42,0,4,42,1,2
0,173,3,high,0,1,1,9,0,0,9,0,9
0,218,3,high,5,1,0,0,0,0,0,0,0
0,218,3,high,4,1,1,4,0,0,4,1,4
0,218,3,high,3,0,2,4,3,0,7,2,7
0,218,3,high,2,0,3,33,2,3,35,2,5
0,218,3,high,1,1,2,16,6,2,22,1,2
0,218,3,high,0,1,1,64,0,6,64,0,4
0,174,3,high,5,1,0,0,0,0,0,0,0
0,174,3,high,4,0,1,1,2,0,3,1,3
0,174,3,high,3,0,2,14,6,2,20,2,0
0,174,3,high,2,0,3,57,5,6,62,2,2
0,174,3,high,1,1,2,56,1,5,57,1,7
0,174,3,high,0,1,1,16,0,1,16,0,6
0,144,3,high,5,1,0,0,0,0,0,0,0
0,144,3,high,4,1,1,1,1,0,2,1,2
0,144,3,high,3,0,2,8,2,1,10,2,0
0,144,3,high,2,0,3,24,3,2,27,2,7
0,144,3,high,1,1,2,32,1,3,33,1,3
0,144,3,high,0,1,1,16,0,1,16,0,6
0,278,3,high,5,1,0,0,0,0,0,0,0
0,278,3,high,4,1,1,4,3,0,7,1,7
0,278,3,high,3,0,2,28,9,3,37,2,7
0,278,3,high,2,0,3,81,11,9,92,2,2
0,278,3,high,1,0,2,112,6,11,118,1,8
0,278,3,high,0,1,1,64,0,6,64,0,4
0,290,3,high,5,1,0,0,0,0,0,0,0
0,290,3,high,4,1,1,4,4,0,8,1,8
0,290,3,high,3,0,2,36,8,4,44,2,4
0,290,3,high,2,1,3,81,0,8,81,2,1
0,290,3,high,1,1,2,0,0,0,0,1,0
0,290,3,high,0,1,1,0,0,0,0,0,0
0,128,3,high,5,1,0,0,0,0,0,0,0
0,128,3,high,4,0,1,1,0,0,1,1,1
0,128,3,high,3,0,2,4,2,0,6,2,6
0,128,3,high,2,0,3,20,3,2,23,2,3
0,128,3,high,1,1,2,32,6,3,38,1,8
0,128,3,high,0,1,1,64,0,6,64,0,4
0,118,3,high,5,1,0,0,0,0,0,0,0
0,118,3,high,4,1,1,1,0,0,1,1,1
0,118,3,high,3,0,2,2,1,0,3,2,3
0,118,3,high,2,0,3,17,2,1,19,2,9
0,118,3,high,1,1,2,16,6,2,22,1,2
0,118,3,high,0,1,1,64,0,6,64,0,4
0,167,3,high,5,1,0,0,0,0,0,0,0
0,167,3,high,4,1,1,1,1,0,2,1,2
0,167,3,high,3,0,2,12,5,1,17,2,7
0,167,3,high,2,0,3,50,8,5,58,2,8
0,167,3,high,1,1,2,84,4,8,88,1,8
0,167,3,high,0,1,1,49,0,4,49,0,9
0,255,3,high,5,1,0,0,0,0,0,0,0
0,255,3,high,4,1,1,4,2,0,6,1,6
0,255,3,high,3,0,2,20,5,2,25,2,5
0,255,3,high,2,1,3,45,5,5,50,2,0
0,255,3,high,1,1,2,50,2,5,52,1,2
0,255,3,high,0,1,1,25,0,2,25,0,5
0,237,3,high,5,1,0,0,0,0,0,0,0
0,237,3,high,4,1,1,4,1,0,5,1,5
0,237,3,high,3,0,2,12,4,1,16,2,6
0,237,3,high,2,0,3,37,4,4,41,2,1
0,237,3,high,1,1,2,42,4,4,46,1,6
0,237,3,high,0,1,1,49,0,4,49,0,9
0,256,3,high,5,1,0,0,0,0,0,0,0
0,256,3,high,4,1,1,4,2,0,6,1,6
0,256,3,high,3,0,2,20,5,2,25,2,5
0,256,3,high,2,0,3,49,6,5,55,2,5
0,256,3,high,1,1,2,60,3,6,63,1,3
0,256,3,high,0,1,1,36,0,3,36,0,6
0,284,3,high,5,1,0,0,0,0,0,0,0
0,284,3,high,4,1,1,4,4,0,8,1,8
0,284,3,high,3,0,2,32,8,4,40,2,0
0,284,3,high,2,0,3,80,6,8,86,2,6
0,284,3,high,1,0,2,64,1,6,65,1,5
0,284,3,high,0,1,1,16,0,1,16,0,6
0,234,3,high,5,1,0,0,0,0,0,0,0
0,234,3,high,4,1,1,4,1,0,5,1,5
0,234,3,high,3,0,2,12,2,1,14,2,4
0,234,3,high,2,1,3,25,2,2,27,2,7
0,234,3,high,1,0,2,24,1,2,25,1,5
0,234,3,high,0,1,1,16,0,1,16,0,6
0,299,3,high,5,1,0,0,0,0,0,0,0
0,299,3,high,4,1,1,4,4,0,8,1,8
0,299,3,high,3,1,2,36,13,4,49,2,9
0,299,3,high,2,0,3,117,17,13,134,2,4
0,299,3,high,1,1,2,162,8,17,170,1,0
0,299,3,high,0,1,1,81,0,8,81,0,1
0,160,3,high,5,1,0,0,0,0,0,0,0
0,160,3,high,4,1,1,1,1,0,2,1,2
0,160,3,high,3,1,2,12,3,1,15,2,5
0,160,3,high,2,0,3,36,0,3,36,2,6
0,160,3,high,1,1,2,0,0,0,0,1,0
0,160,3,high,0,1,1,0,0,0,0,0,0
0,189,3,high,5,1,0,0,0,0,0,0,0
0,189,3,high,4,1,1,1,2,0,3,1,3
0,189,3,high,3,0,2,16,9,2,25,2,5
0,189,3,high,2,0,3,82,15,9,97,2,7
0,189,3,high,1,1,2,144,8,15,152,1,2
0,189,3,high,0,1,1,81,0,8,81,0,1
0,150,3,high,5,1,0,0,0,0,0,0,0
0,150,3,high,4,1,1,1,1,0,2,1,2
0,150,3,high,3,1,2,10,2,1,12,2,2
0,150,3,high,2,0,3,25,0,2,25,2,5
0,150,3,high,1,1,2,0,0,0,0,1,0
0,150,3,high,0,1,1,0,0,0,0,0,0
0,215,3,high,5,1,0,0,0,0,0,0,0
0,215,3,high,4,1,1,4,0,0,4,1,4
0,215,3,high,3,0,2,4,2,0,6,2,6
0,215,3,high,2,0,3,21,1,2,22,2,2
0,215,3,high,1,1,2,10,2,1,12,1,2
0,215,3,high,0,1,1,25,0,2,25,0,5
0,249,3,high,5,1,0,0,0,0,0,0,0
0,249,3,high,4,0,1,4,2,0,6,1,6
0,249,3,high,3,1,2,16,6,2,22,2,2
0,249,3,high,2,0,3,52,8,6,60,2,0
0,249,3,high,1,1,2,72,8,8,80,1,0
0,249,3,high,0,1,1,81,0,8,81,0,1
0,178,3,high,5,1,0,0,0,0,0,0,0
0,178,3,high,4,0,1,1,2,0,3,1,3
0,178,3,high,3,0,2,14,7,2,21,2,1
0,178,3,high,2,0,3,65,11,7,76,2,6
0,178,3,high,1,0,2,112,6,11,118,1,8
0,178,3,high,0,1,1,64,0,6,64,0,4
0,248,3,high,5,1,0,0,0,0,0,0,0
0,248,3,high,4,1,1,4,2,0,6,1,6
0,248,3,high,3,1,2,16,5,2,21,2,1
0,248,3,high,2,0,3,48,7,5,55,2,5
0,248,3,high,1,0,2,64,6,7,70,1,0
0,248,3,high,0,1,1,64,0,6,64,0,4
0,242,3,high,5,1,0,0,0,0,0,0,0
0,242,3,high,4,1,1,4,1,0,5,1,5
0,242,3,high,3,0,2,16,2,1,18,2,8
0,242,3,high,2,0,3,24,1,2,25,2,5
0,242,3,high,1,0,2,16,0,1,16,1,6
0,242,3,high,0,1,1,4,0,0,4,0,4
0,176,3,high,5,1,0,0,0,0,0,0,0
0,176,3,high,4,0,1,1,2,0,3,1,3
0,176,3,high,3,1,2,14,6,2,20,2,0
0,176,3,high,2,0,3,61,8,6,69,2,9
0,176,3,high,1,1,2,84,3,8,87,1,7
0,176,3,high,0,1,1,36,0,3,36,0,6
0,129,3,high,5,1,0,0,0,0,0,0,0
0,129,3,high,4,0,1,1,0,0,1,1,1
0,129,3,high,3,0,2,4,2,0,6,2,6
0,129,3,high,2,0,3,22,4,2,26,2,6
0,129,3,high,1,1,2,36,8,4,44,1,4
0,129,3,high,0,1,1,81,0,8,81,0,1
0,155,3,high,5,1,0,0,0,0,0,0,0
0,155,3,high,4,1,1,1,1,0,2,1,2
0,155,3,high,3,0,2,10,4,1,14,2,4
0,155,3,high,2,1,3,35,5,4,40,2,0
0,155,3,high,1,1,2,50,2,5,52,1,2
0,155,3,high,0,1,1,25,0,2,25,0,5
0,250,3,high,5,1,0,0,0,0,0,0,0
0,250,3,high,4,1,1,4,2,0,6,1,6
0,250,3,high,3,1,2,20,2,2,22,2,2
0,250,3,high,2,0,3,25,0,2,25,2,5
0,250,3,high,1,1,2,0,0,0,0,1,0
0,250,3,high,0,1,1,0,0,0,0,0,0
0,195,3,high,5,1,0,0,0,0,0,0,0
0,195,3,high,4,1,1,1,2,0,3,1,3
0,195,3,high,3,0,2,18,10,2,28,2,8
0,195,3,high,2,1,3,91,9,10,100,2,0
0,195,3,high,1,1,2,90,2,9,92,1,2
0,195,3,high,0,1,1,25,0,2,25,0,5
0,148,3,high,5,1,0,0,0,0,0,0,0
0,148,3,high,4,1,1,1,1,0,2,1,2
0,148,3,high,3,1,2,8,3,1,11,2,1
0,148,3,high,2,0,3,32,7,3,39,2,9
0,148,3,high,1,0,2,64,6,7,70,1,0
0,148,3,high,0,1,1,64,0,6,64,0,4
0,149,3,high,5,1,0,0,0,0,0,0,0
0,149,3,high,4,1,1,1,1,0,2,1,2
